,카테고리,제목,청원종료일,참여인원,URL
833,보건복지,"저는 걷지 못하는 장애인인데, 장애인이 아니라고 합니다!",2018-11-21,"23,862",https://www1.president.go.kr/petitions/416118
834,외교/통일/국방,한일군사정보보호협정(GSOMIA) 지금 당장 폐기해야 합니다.,2019-09-01,"23,823",https://www1.president.go.kr/petitions/581802
835,반려동물,반려동물보유세 추진 절대 반대합니다.,2020-02-15,"23,815",https://www1.president.go.kr/petitions/584484
836,안전/환경,대장내시경 받다 식물인간이 된 저희 아빠를 도와주세요~,2018-12-13,"23,807",https://www1.president.go.kr/petitions/440662
837,반려동물,'개파라치' 시행 법 고쳐주세요.,2018-02-17,"23,757",https://www1.president.go.kr/petitions/103495
838,육아/교육,개학 추가 연기 바랍니다.,2020-03-28,"23,694",https://www1.president.go.kr/petitions/585778
839,정치개혁,야!  문재인 탄핵 당하기 전에 하야해라!!,2018-01-21,"23,679",https://www1.president.go.kr/petitions/71304
840,육아/교육,2007년 울산현대어린이집 성민천사 사건 반드시 꼭 반드시 재수사 해달라!!!!!!!!!!!!!!!!!,2018-11-10,"23,660",https://www1.president.go.kr/petitions/404464
841,정치개혁,"모든 국회의원, 고위공직자 자녀의 수시입학 전수조사 해주세요",2019-10-04,"23,659",https://www1.president.go.kr/petitions/582481
842,육아/교육,안산 유치원 집단 식중독,2020-07-25,"23,552",https://www1.president.go.kr/petitions/590044
843,정치개혁,긴급생계자금을 모두에게 공평히 지급해 주십시오.,2020-04-24,"23,549",https://www1.president.go.kr/petitions/587160
844,외교/통일/국방,아들 면회 후 귀가 일가족 교통사고(병역면제),2019-01-20,"23,548",https://www1.president.go.kr/petitions/474896
845,교통/건축/국토,거가대교 통행료를 인하해 주십시오!,2019-01-17,"23,545",https://www1.president.go.kr/petitions/472650
846,저출산/고령화대책,[[출산 장려금]]250만원...보여주기식 출산율 높이기를 위함인가요?,2018-12-28,"23,515",https://www1.president.go.kr/petitions/454637
847,행정,자치경찰제 시행에 따른 경찰 직급조정 및 공안직군 편입요청(부제 :승진을 위한 경찰이  아닌 시민을 위한 경찰이 될수있게 도와주십시요),2019-01-15,"23,477",https://www1.president.go.kr/petitions/470920
848,정치개혁,위안부 밥벌이 한 윤미향을 처벌해 주십시오,2020-06-26,"23,470",https://www1.president.go.kr/petitions/589283
849,문화/예술/체육/언론,문화 예술 체육  쪽 암표 관련 법을 만들어 주셨으면 합니다,2017-11-27,"23,459",https://www1.president.go.kr/petitions/24278
850,정치개혁,길게 말 안합니다. 문재인 코로나폐렴 사태 책임 지고 하야 하십시오,2020-03-26,"23,419",https://www1.president.go.kr/petitions/585617
851,인권/성평등,낙태죄 폐지에 반대 의견을 개진한 법무부에 책임을 물어 박상기 법무부장관 경질을 요구합니다.,2018-06-22,"23,392",https://www1.president.go.kr/petitions/241890
852,안전/환경,난민브로커와 그 유착세력에 대한 조사를 촉구합니다,2018-07-19,"23,380",https://www1.president.go.kr/petitions/276313
853,교통/건축/국토,동탄신도시 교통망 확충 청원,2019-01-18,"23,353",https://www1.president.go.kr/petitions/473662
854,보건복지,면세점 휴점,2020-03-05,"23,331",https://www1.president.go.kr/petitions/584922
855,외교/통일/국방,북한 목함지뢰 도발사건. 저의 명예를 지켜주세요....,2019-10-17,"23,305",https://www1.president.go.kr/petitions/582725
